,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
43,52.4899,13.34886,1.0,cafes,40,91,4,0,1,2,0,4,1,42,3,0,0,42,0,2,2,5638
44,52.4715,13.3361,2.0,korean,77,160,5,4,0,9,1,11,1,79,0,2,0,79,3,5,2,7721
45,52.469329,13.331551999999999,1.0,coffeeroasteries,107,223,5,5,1,10,2,10,2,111,2,2,1,111,3,8,4,8106
46,52.5057,13.3059,1.0,falafel,356,754,24,5,3,9,2,47,10,375,14,3,6,375,8,33,19,7343
47,52.50339,13.3379,2.0,chinese,175,361,3,2,4,2,5,17,3,179,16,5,7,179,1,23,4,5402
48,52.506584,13.293901000000002,1.0,lounges,131,267,8,0,1,5,3,21,4,133,6,2,2,133,2,9,2,8102
49,52.46256999999999,13.32569,3.0,coffee,99,221,2,8,3,6,2,6,5,109,2,2,1,109,0,8,10,8937
50,52.50702,13.3096,2.0,turkish,327,691,19,7,3,9,2,51,10,343,14,3,6,343,10,33,16,7060
51,52.50221,13.304089999999999,2.0,hookah_bars,339,727,18,5,4,9,0,49,9,363,17,3,9,363,6,35,24,7579
52,52.4903,13.3148,3.0,currysausage,89,185,6,1,2,8,6,6,1,92,3,5,3,92,2,11,3,7474
53,52.460469999999994,13.323160000000001,1.0,sushi,91,206,0,5,4,4,2,5,6,98,1,2,1,98,0,8,7,9227
54,52.506130000000006,13.31325,1.0,bistros,300,633,17,8,3,7,2,46,10,316,14,4,6,316,7,27,16,6851
55,52.486000000000004,13.3297,2.0,latin,94,205,7,8,4,5,3,9,1,102,5,2,0,102,2,3,8,6909
56,52.504289,13.300029,1.0,pizza,302,652,18,5,2,8,3,41,8,318,11,3,6,318,7,29,16,7770
57,52.466218999999995,13.306702,3.0,italian,11,24,1,0,1,0,0,1,1,11,2,1,0,11,0,1,0,9530
58,52.49855,13.32485,2.0,sushi,208,454,4,12,4,3,4,18,2,215,24,2,3,215,2,19,7,6435
