coordinates.latitude,coordinates.longitude,rating,review_count,price,categories.0.alias
52.4688,13.3322,4.5,15,€,turkish
52.475417,13.323905,4,29,€€,bakeries
52.4674,13.3316,4,22,€,mediterranean
52.46335,13.33878,4,22,€€,italian
52.461085,13.321044,4,16,€€€,italian
52.496,13.32791,4,53,€,chinese
52.472764,13.321791,4,14,€€€,italian
52.50125,13.32489,4,88,€,pizza
52.4672857,13.331047,4,14,€€,vietnamese
52.47908,13.33318,4,23,€,indpak
52.4865953,13.3233281,4.5,20,€,vietnamese
52.48777,13.32152,4,65,€€,spanish
52.4734,13.3223,4.5,13,€€€,divebars
52.466051985173,13.3092978546783,4,17,€€,german
52.47133,13.33824,4,22,€€,indpak
52.4719,13.3361,4,21,€€,lounges
52.49456,13.32352,4.5,40,€,japanese
52.46834,13.3217199,4.5,6,€€,bistros
52.4742,13.3223,5,8,€€,italian
52.4594218,13.3043711,3.5,28,€€€,modern_european
52.4814,13.3189,4,17,€€,lebanese
52.454906,13.324363,4.5,12,€,desserts
52.4863411,13.3242357,4.5,16,€€,serbocroatian
52.48816,13.33783,4.5,19,€,greek
52.49461,13.30447,4.5,29,€€,pizza
52.486,13.3297,4,25,€€,latin
52.463121,13.325838,3.5,19,€€€,buffets
52.499577,13.305757,4,110,€€€,steak
52.50146,13.31252,4.5,63,€€,austrian
52.48619,13.32015,4.5,22,€€,serbocroatian
52.457227,13.320429,3.5,22,€€,burgers
52.4631,13.328,4,14,€€,serbocroatian
52.4953194,13.3401003,4.5,36,€€,icecream
52.480275822325,13.3366005756342,3.5,46,€€,cafes
52.471146,13.335552,5,7,€€,italian
52.47722,13.32057,3.5,22,€€,german
52.48514,13.32012,3.5,30,€€,icecream
52.4585,13.3169,3.5,24,€€,italian
52.49123,13.31426,3.5,118,€€,cafes
52.49778,13.31968,3,208,€€,burgers
52.4863799,13.31901,4.5,19,€,pizza
52.4915,13.31827,4,44,€€,bavarian
52.4780984,13.3281912,3.5,25,€,mideastern
52.458,13.3246,4,16,€,panasian
52.49759,13.32662,5,23,€€,cafes
52.4871097521897,13.3228069614394,3.5,81,€,sushi
52.4596922101326,13.3220109214783,4,10,€€€,italian
52.4915,13.3218,4,45,€€,latin
52.455683249486,13.322460072531,3.5,22,€€,kebab
52.472229,13.3350601,4,14,€€,icecream
52.464201,13.328062,4,11,€€€,international
52.4570007324219,13.3217887878418,3.5,26,€€,coffee
52.4511305,13.3219696,4,19,€,italian
52.4802,13.3276,3.5,28,€,greek
52.49702,13.31359,4.5,35,€€,chinese
52.4905159,13.3249406,4.5,25,€€,portuguese
52.48,13.3266,4,14,€€€,french
52.4915,13.3271,4,36,€€,sushi
52.4536326560885,13.3152930170871,4,12,€€,italian
52.45738,13.3234999,5,6,€€,persian
52.48668,13.3237,4,26,€,burgers
52.4979563,13.3219313,5,18,€€,indonesian
52.4668700526374,13.3279398456216,5,4,€,cafes
52.469329,13.331552,5,6,€,coffeeroasteries
52.466954,13.330912,4,11,€,pizza
52.4553185,13.3249302,4.5,10,€,italian
52.4957380504404,13.3418519113901,4.5,27,,parks
52.4668599,13.32803,4.5,7,,korean
52.47528,13.3245,4.5,8,€€,indpak
52.4509,13.3385,5,12,€€,hotdogs
52.4537,13.3169,4.5,12,€€,sushi
52.50107,13.31856,3.5,138,€€€,foodstands
52.4989373,13.3229968,4,40,€€€,peruvian
52.4892,13.3199,4,43,€€,french
52.48623,13.32758,4.5,15,€€,jazzandblues
52.473272744384,13.317060456336,4,10,€,cafes
52.49873,13.31533,3.5,84,€,sushi
52.460081,13.323403,3.5,15,€€,fischbroetchen
52.5009299,13.32598,4.5,35,€€,sushi
52.500889,13.321431,3.5,119,€€€,arabian
52.4649432,13.3269377,4,11,€€,cocktailbars
52.4737278537546,13.3382599800825,4,16,€€,pizza
52.47323,13.31748,4,12,€€,serbocroatian
52.492937,13.329328,4.5,22,€€,indpak
52.49848,13.32665,4.5,33,€€€,lounges
52.4993215821881,13.3055115926631,4,68,€€€,chinese
52.4737015,13.3288002,4.5,7,€€€,delicatessen
52.47223,13.33506,3.5,18,€€,breakfast_brunch
52.4668,13.3076,3,33,€€,cafes
52.4783574304614,13.3281180171966,3,32,€€,italian
52.495915,13.34049,4.5,27,€€,vegetarian
52.49486,13.33971,4,39,€€,bavarian
52.47289,13.31411,4,10,€€,bakeries
52.4974,13.32312,4,52,€€,german
52.4742673212794,13.3079221286348,4,10,€€€,greek
52.5014794002793,13.3252446058045,3.5,103,€€€,cafes
52.4523,13.33389,4.5,14,€€,chinese
52.4724,13.3364,4,16,€€,cafes
52.45795,13.32887,3.5,24,€€,italian
52.4698,13.3255,4,12,€€,italian
52.4642399,13.32815,4,6,€€,cafes
52.4909,13.3262,4.5,18,€€,bakeries
52.49763,13.32464,4,60,€€,italian
52.498099,13.323979,4,51,€€,modern_european
52.49621,13.34151,3.5,71,€€,lounges
52.4989599,13.31673,3.5,68,€€€,sushi
52.4545,13.3279,4,10,€,bars
52.4720429556311,13.3325051516141,4.5,9,€,vietnamese
52.4716499,13.33719,4.5,8,€€,bars
52.467261,13.341739,3.5,18,€,italian
52.49954,13.3017299,5,18,€€,italian
52.5016479492188,13.3377590179443,4,55,€€,tapas
52.4879189,13.3313599,4.5,17,€€,german
52.5011803,13.3380778,4,37,€€€,modern_european
52.4879,13.3341,4,26,€,sushi
