,score,predictedscore,dif
178,5.625,6.71,1.085
179,7.0,6.79,0.20999999999999996
180,6.25,6.71,0.45999999999999996
181,6.75,6.79,0.040000000000000036
182,4.375,6.71,2.335
183,7.875,6.87,1.005
184,6.0,6.71,0.71
185,6.75,6.71,0.040000000000000036
186,7.0,6.95,0.04999999999999982
187,7.0,6.87,0.1299999999999999
188,7.0,6.79,0.20999999999999996
189,6.125,6.71,0.585
190,7.0,6.87,0.1299999999999999
191,7.875,6.87,1.005
192,6.25,6.71,0.45999999999999996
193,5.625,6.79,1.165
194,7.0,6.79,0.20999999999999996
195,4.0,6.71,2.71
196,7.5,6.87,0.6299999999999999
197,7.875,6.79,1.085
198,5.0,6.87,1.87
199,6.125,6.71,0.585
200,6.25,6.71,0.45999999999999996
201,7.875,6.79,1.085
202,6.125,6.79,0.665
203,5.0,6.71,1.71
204,4.375,6.79,2.415
205,5.625,6.79,1.165
206,5.0,6.79,1.79
207,6.75,6.87,0.1200000000000001
208,8.0,6.71,1.29
209,5.25,6.79,1.54
210,5.625,6.79,1.165
211,7.0,6.87,0.1299999999999999
212,5.25,6.79,1.54
213,4.5,6.71,2.21
214,4.375,6.79,2.415
215,7.875,6.79,1.085
216,7.875,6.79,1.085
217,4.0,6.79,2.79
218,5.0,6.87,1.87
219,8.0,6.79,1.21
220,2.5,6.79,4.29
221,3.5,6.79,3.29
222,3.5,6.79,3.29
223,7.875,6.87,1.005
224,7.0,6.87,0.1299999999999999
225,7.0,6.79,0.20999999999999996
226,4.375,6.71,2.335
227,8.0,6.87,1.13
228,6.0,6.87,0.8700000000000001
229,7.875,6.71,1.165
230,7.875,6.79,1.085
231,4.0,6.79,2.79
232,7.0,6.71,0.29000000000000004
233,4.5,6.71,2.21
234,5.25,6.71,1.46
235,8.0,6.79,1.21
236,8.0,6.79,1.21
237,6.0,6.79,0.79
238,4.375,6.87,2.495
239,6.125,6.79,0.665
240,5.25,6.87,1.62
241,7.0,6.71,0.29000000000000004
242,5.0,6.71,1.71
243,5.0,6.79,1.79
244,6.125,6.79,0.665
245,4.375,6.71,2.335
246,6.0,6.71,0.71
247,7.0,6.71,0.29000000000000004
248,6.125,6.79,0.665
249,3.5,6.87,3.37
250,7.875,6.79,1.085
251,3.0,6.79,3.79
252,9.0,6.79,2.21
253,8.0,6.79,1.21
254,6.75,6.79,0.040000000000000036
255,7.0,6.71,0.29000000000000004
256,8.75,6.87,1.88
257,7.875,6.79,1.085
258,7.5,6.87,0.6299999999999999
259,8.0,6.87,1.13
260,3.5,6.87,3.37
261,1.0,6.87,5.87
262,7.875,6.79,1.085
263,6.125,6.79,0.665
264,6.125,6.87,0.7450000000000001
265,6.125,6.79,0.665
266,8.0,6.79,1.21
267,6.75,6.79,0.040000000000000036
268,4.375,6.87,2.495
269,7.0,6.79,0.20999999999999996
270,6.75,6.79,0.040000000000000036
271,7.875,6.71,1.165
272,1.0,6.87,5.87
273,7.0,6.79,0.20999999999999996
274,4.375,6.87,2.495
275,7.0,6.79,0.20999999999999996
276,5.0,6.79,1.79
277,7.0,6.79,0.20999999999999996
278,5.25,6.71,1.46
279,7.0,6.79,0.20999999999999996
280,6.125,6.79,0.665
281,7.875,6.71,1.165
282,7.875,6.87,1.005
283,5.25,6.87,1.62
284,5.625,6.79,1.165
285,1.0,6.95,5.95
286,7.0,6.87,0.1299999999999999
287,6.125,6.79,0.665
288,4.5,6.71,2.21
289,5.0,6.71,1.71
290,8.0,6.87,1.13
291,7.875,6.79,1.085
292,7.0,6.79,0.20999999999999996
293,4.0,6.87,2.87
294,6.0,6.71,0.71
295,5.25,6.71,1.46
296,7.875,6.79,1.085
297,5.0,6.71,1.71
298,5.25,6.79,1.54
299,6.0,6.79,0.79
300,6.75,6.79,0.040000000000000036
301,7.875,6.71,1.165
302,5.0,6.71,1.71
303,6.0,6.79,0.79
304,8.0,6.79,1.21
305,6.0,6.79,0.79
306,7.875,6.71,1.165
307,7.875,6.87,1.005
308,6.125,6.87,0.7450000000000001
309,5.0,6.71,1.71
310,3.75,6.79,3.04
311,7.0,6.87,0.1299999999999999
312,4.5,6.79,2.29
313,6.125,6.79,0.665
314,4.5,6.79,2.29
315,7.0,6.79,0.20999999999999996
316,6.125,6.71,0.585
317,5.0,6.79,1.79
318,5.25,6.79,1.54
319,3.0,6.71,3.71
320,6.125,6.71,0.585
321,8.75,6.87,1.88
322,5.0,6.79,1.79
323,6.125,6.79,0.665
324,2.0,6.87,4.87
325,6.125,6.79,0.665
326,8.75,6.87,1.88
327,7.875,6.71,1.165
328,6.75,6.71,0.040000000000000036
329,5.25,6.71,1.46
330,7.875,6.71,1.165
331,7.5,6.79,0.71
332,7.5,6.79,0.71
333,6.125,6.79,0.665
334,6.75,6.79,0.040000000000000036
335,6.125,6.79,0.665
336,6.125,6.71,0.585
337,1.0,6.87,5.87
338,8.75,6.79,1.96
339,6.0,6.71,0.71
340,6.75,6.79,0.040000000000000036
341,7.0,6.79,0.20999999999999996
342,5.25,6.79,1.54
343,4.0,6.79,2.79
344,6.75,6.79,0.040000000000000036
345,7.875,6.79,1.085
346,6.75,6.71,0.040000000000000036
347,6.125,6.71,0.585
348,6.125,6.79,0.665
349,8.0,6.79,1.21
350,7.875,6.79,1.085
351,6.75,6.71,0.040000000000000036
352,7.0,6.87,0.1299999999999999
353,7.875,6.79,1.085
354,5.25,6.87,1.62
355,6.0,6.79,0.79
356,6.125,6.79,0.665
357,9.0,6.87,2.13
358,7.0,6.79,0.20999999999999996
359,6.0,6.79,0.79
360,6.75,6.71,0.040000000000000036
361,5.0,6.71,1.71
362,5.25,6.79,1.54
363,5.0,6.71,1.71
364,7.0,6.79,0.20999999999999996
365,5.25,6.71,1.46
366,7.875,6.87,1.005
367,3.75,6.71,2.96
368,4.0,6.71,2.71
369,7.875,6.79,1.085
370,7.875,6.79,1.085
371,7.0,6.79,0.20999999999999996
372,9.0,6.79,2.21
373,7.0,6.71,0.29000000000000004
374,6.125,6.79,0.665
375,5.25,6.79,1.54
376,7.0,6.79,0.20999999999999996
377,6.75,6.79,0.040000000000000036
378,7.0,6.79,0.20999999999999996
379,6.0,6.87,0.8700000000000001
380,8.75,6.79,1.96
381,3.75,6.79,3.04
382,4.5,6.95,2.45
383,7.0,6.79,0.20999999999999996
384,3.75,6.79,3.04
385,7.875,6.71,1.165
386,7.0,6.87,0.1299999999999999
387,5.0,6.71,1.71
388,7.0,6.79,0.20999999999999996
389,7.0,6.71,0.29000000000000004
390,5.0,6.79,1.79
391,6.75,6.71,0.040000000000000036
392,7.0,6.87,0.1299999999999999
393,7.0,6.71,0.29000000000000004
394,5.0,6.79,1.79
395,7.5,6.79,0.71
396,6.75,6.71,0.040000000000000036
397,5.625,6.79,1.165
398,9.0,6.87,2.13
399,5.0,6.79,1.79
