,score,predictedscore,dif
0,7.875,6.006337529208537,1.8686624707914632
1,6.75,6.4296641670600785,0.3203358329399215
2,6.75,6.202376645451428,0.5476233545485716
3,8.0,6.317333229602372,1.6826667703976277
4,8.75,5.63691732839044,3.1130826716095603
5,2.5,6.01176497441003,3.5117649744100303
6,7.0,6.511808001488436,0.4881919985115637
7,7.0,5.823460504092112,1.176539495907888
8,6.0,6.061719406238005,0.06171940623800509
9,7.0,6.070967012173185,0.9290329878268153
10,7.0,6.1354467624561,0.8645532375439
11,6.125,6.125167606848612,0.00016760684861161224
12,3.0,5.6919429247804425,2.6919429247804425
13,7.0,5.8451459857329295,1.1548540142670705
14,4.375,5.915058766206634,1.5400587662066343
15,5.25,5.788544641010665,0.5385446410106649
16,8.75,6.293715593218247,2.4562844067817533
17,3.75,6.660307824536035,2.9103078245360354
18,7.0,6.425083946327527,0.5749160536724727
19,6.125,6.212730641602258,0.08773064160225807
20,5.25,6.341545460085826,1.0915454600858263
21,7.0,6.093291546255591,0.9067084537444092
22,6.25,5.8619268420364525,0.38807315796354747
23,7.875,6.613677298691618,1.2613227013083819
24,7.875,6.400684570797676,1.4743154292023242
25,5.25,6.226587282954214,0.9765872829542142
26,4.375,6.019792045229308,1.644792045229308
27,8.0,6.020654007141366,1.9793459928586339
28,5.0,5.59167623350496,0.5916762335049599
29,5.25,6.036375881313627,0.786375881313627
30,6.75,6.161397385207182,0.5886026147928183
31,6.125,5.32414234208084,0.8008576579191597
32,4.0,5.811615087888385,1.8116150878883852
33,4.0,6.211643185189469,2.2116431851894687
34,7.0,6.024582261258714,0.9754177387412861
35,7.0,6.5148753438083755,0.4851246561916245
36,9.0,6.6914029004064215,2.3085970995935785
37,5.25,6.246442834124132,0.9964428341241316
38,9.0,5.8919560509612605,3.1080439490387395
39,7.0,6.057801909750595,0.9421980902494047
40,6.0,5.807189086284759,0.19281091371524095
41,7.0,5.837646824693765,1.1623531753062348
42,7.875,6.023561935360682,1.8514380646393178
43,5.25,5.948593485781261,0.6985934857812612
44,7.875,6.378431662299163,1.496568337700837
45,6.125,5.32414234208084,0.8008576579191597
46,7.0,6.211290797700108,0.7887092022998923
47,7.875,6.6559778511005225,1.2190221488994775
48,7.0,6.156491247809057,0.8435087521909432
49,8.0,6.101925903911461,1.8980740960885392
50,6.75,5.905523566729227,0.8444764332707733
51,8.0,6.708600726263411,1.2913992737365891
52,6.125,6.326237218310607,0.2012372183106068
53,7.0,5.964861976395444,1.0351380236045564
54,2.0,5.946892858365615,3.946892858365615
55,4.5,5.576542963835969,1.0765429638359691
56,7.0,6.401361619090084,0.5986383809099163
57,5.0,5.984125604311283,0.9841256043112834
58,6.0,6.125696015583075,0.12569601558307486
59,7.0,6.357390785682803,0.6426092143171971
60,8.75,5.889455072183481,2.8605449278165187
61,7.0,6.077751750409505,0.9222482495904947
62,7.0,6.271915948162092,0.7280840518379081
63,9.0,6.101370502381205,2.8986294976187947
64,5.25,6.3018024959040675,1.0518024959040675
65,3.75,5.493828873905789,1.7438288739057892
66,2.5,5.437453869638615,2.937453869638615
67,4.5,6.450947946254184,1.9509479462541837
68,5.0,5.780997598593581,0.7809975985935811
69,7.0,5.932711301522584,1.067288698477416
70,7.875,5.481729010814971,2.3932709891850292
71,5.25,6.526212588526233,1.2762125885262332
72,5.625,5.7731446800810255,0.14814468008102555
73,6.0,6.053104307549098,0.05310430754909756
74,9.0,6.398927858301567,2.601072141698433
75,4.5,6.214505554562897,1.7145055545628969
76,6.0,5.612951153401889,0.3870488465981108
77,6.75,6.112019026607601,0.6379809733923993
78,7.0,6.024582261258714,0.9754177387412861
79,5.25,6.2513142936468045,1.0013142936468045
80,5.0,6.514584751666813,1.5145847516668134
81,7.875,6.503099747522012,1.371900252477988
82,7.875,6.457267683756013,1.4177323162439874
83,7.0,6.261573138002271,0.7384268619977288
84,7.0,6.573275421064176,0.42672457893582383
85,4.0,5.920723756878511,1.9207237568785107
86,7.0,6.359693931500538,0.6403060684994619
87,7.0,6.221264538734849,0.7787354612651507
88,5.25,5.828453472389807,0.5784534723898069
89,5.0,6.13224948197024,1.1322494819702396
90,4.375,6.04537574345041,1.6703757434504096
91,5.25,6.001337110795735,0.7513371107957347
92,6.25,5.9070729871348435,0.3429270128651565
93,8.75,6.687663096428951,2.0623369035710493
94,3.75,6.252614823871124,2.5026148238711237
95,9.0,6.103732570717795,2.8962674292822053
96,7.0,6.209047111605751,0.7909528883942487
97,8.0,6.58438774006527,1.41561225993473
98,4.5,6.167972239057977,1.6679722390579768
99,7.0,6.051987538980053,0.948012461019947
100,9.0,6.103732570717795,2.8962674292822053
101,7.5,5.86045106981209,1.6395489301879103
102,5.625,5.4316535992797785,0.19334640072022147
103,6.125,5.7128118386674975,0.41218816133250247
104,6.125,6.709097803227859,0.5840978032278592
105,3.75,5.558914666465038,1.8089146664650384
106,7.0,5.654402732727188,1.3455972672728116
107,5.25,5.882394693925859,0.6323946939258587
108,6.75,6.186150651748823,0.5638493482511766
109,8.0,5.72531368422479,2.2746863157752104
110,6.75,6.046506911672687,0.7034930883273134
111,8.0,6.306438191518291,1.693561808481709
112,6.75,5.997890023053504,0.7521099769464961
113,8.0,6.199339323922678,1.8006606760773218
114,8.75,6.777751017944259,1.9722489820557412
115,5.625,6.631309792857287,1.0063097928572873
116,6.0,6.621127682832195,0.6211276828321948
117,8.75,6.6573176790477815,2.0926823209522185
118,6.25,5.866137032421721,0.3838629675782794
119,7.0,5.724367739104654,1.275632260895346
120,5.0,5.712550000501934,0.7125500005019338
121,7.875,6.191780806077961,1.6832191939220387
122,4.5,6.36583835087789,1.8658383508778904
123,7.0,6.074807911471217,0.9251920885287834
124,6.0,6.179794881002603,0.17979488100260266
125,4.375,5.893575783144943,1.518575783144943
126,4.375,5.788489180055437,1.4134891800554366
127,6.125,5.494061949460732,0.6309380505392683
128,4.5,6.097928001941517,1.5979280019415167
129,7.0,5.96337849178935,1.0366215082106498
130,4.0,6.135904375492416,2.135904375492416
131,7.875,6.1111748450006065,1.7638251549993935
132,5.625,6.008426553793713,0.38342655379371315
133,6.25,5.88906178695845,0.3609382130415497
134,7.875,5.799403672572418,2.075596327427582
135,7.0,6.172051410047173,0.8279485899528272
136,7.0,6.222514240299458,0.777485759700542
137,6.125,5.494061949460732,0.6309380505392683
138,3.5,6.097074796458292,2.5970747964582923
139,4.0,5.693826990979019,1.6938269909790193
140,5.0,6.367654011964196,1.3676540119641958
141,9.0,6.479681369841224,2.5203186301587763
142,7.0,5.989810725029073,1.0101892749709274
143,8.0,5.966354248033088,2.0336457519669118
144,5.0,6.340123477186656,1.3401234771866557
145,4.0,6.014344907340491,2.014344907340491
146,4.375,5.913026910174608,1.538026910174608
147,8.0,6.664018535425647,1.3359814645743526
148,7.0,6.210485095931046,0.7895149040689544
149,7.875,5.62206633233463,2.2529336676653697
150,6.75,6.100575524254573,0.6494244757454268
151,9.0,6.073647428464033,2.9263525715359666
152,6.125,6.07286583756703,0.052134162432969866
153,3.0,5.4912046551035445,2.4912046551035445
154,2.5,6.185108324359786,3.6851083243597857
