,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
651,52.44834,13.305527,2.0,bakeries,13,1,1,0,1,1,0,0,1,14,1,1,0,14,0,1,1,11031
652,52.498960600000004,13.3109223,3.0,italian,324,46,13,18,8,8,1,46,2,370,15,2,9,370,3,43,20,7275
653,52.480510259918795,13.312361240387,2.0,kebab,26,2,0,0,0,4,2,5,0,28,3,0,0,28,0,1,3,8216
654,52.458581161872395,13.3218468347546,2.0,icecream,96,7,0,6,4,2,3,12,7,103,1,2,1,103,1,7,8,9446
655,52.49576,13.308710000000001,3.0,cocktailbars,287,6,9,13,5,10,4,28,3,293,10,5,6,293,2,33,13,7557
656,52.455035623244704,13.324604764464901,2.0,wine_bars,75,0,0,5,2,2,3,9,6,75,1,2,1,75,1,6,5,9642
657,52.49674,13.33484,1.0,coffee,122,0,3,3,0,4,3,12,3,122,10,3,2,122,1,12,6,5939
658,52.504059999999996,13.31696,2.0,turkish,390,7,22,18,3,12,4,51,4,397,15,2,6,397,9,31,18,6686
659,52.47198100000001,13.335049599999998,2.0,bakeries,79,3,5,2,1,5,2,10,2,82,4,2,0,82,2,8,3,7727
660,52.49936999999999,13.30517,3.0,bars,331,40,13,12,7,9,1,43,3,371,17,4,14,371,0,40,19,7619
661,52.4998817,13.3144102,3.0,bars,366,40,18,22,8,10,2,47,3,406,16,2,11,406,4,40,21,7017
662,52.492937,13.329328,2.0,indpak,108,3,4,5,1,2,2,12,2,111,8,2,1,111,0,8,8,6480
663,52.50623,13.31811,2.0,chinese,263,4,15,6,3,6,3,33,2,267,15,3,4,267,6,22,9,6534
664,52.5003,13.3107,2.0,landmarks,410,15,17,19,8,10,2,49,3,425,17,2,11,425,4,49,22,7232
665,52.499176025390604,13.3355560302734,1.0,kebab,108,2,2,3,0,4,2,12,3,110,10,3,2,110,1,12,6,5760
666,52.49701999999999,13.31359,2.0,chinese,322,6,10,16,6,9,4,35,3,328,13,2,9,328,3,33,20,7198
667,52.50647270000001,13.316826800000001,2.0,vietnamese,280,17,17,7,2,4,4,33,2,297,17,3,4,297,6,23,12,6608
668,52.507689899999995,13.3185,2.0,german,217,11,11,6,2,4,3,27,2,228,11,3,4,228,6,20,6,6460
669,52.455318500000004,13.324930199999999,1.0,italian,67,8,0,5,2,2,3,8,6,75,1,2,1,75,1,7,5,9604
670,52.5013,13.3313,2.0,german,76,7,1,2,0,4,2,8,0,83,7,2,2,83,0,9,5,5907
671,52.4745,13.29405,3.0,bakeries,5,1,0,0,0,1,0,0,0,6,1,0,0,6,0,0,1,9616
672,52.490680000000005,13.33014,3.0,bakeries,103,9,7,6,2,2,2,13,1,112,6,2,1,112,2,7,9,6574
